id,router_type,input,routing_time
127,domain,query_27,6.660120561718941e-07
128,domain,query_28,6.67001586407423e-07
129,domain,query_29,7.500057108700275e-07
130,domain,query_30,6.67001586407423e-07
131,domain,query_31,6.660120561718941e-07
132,domain,query_32,7.079797796905041e-07
133,domain,query_33,7.080379873514175e-07
134,domain,query_34,6.67001586407423e-07
135,domain,query_35,7.080379873514175e-07
136,domain,query_36,6.67001586407423e-07
137,domain,query_37,6.660120561718941e-07
138,domain,query_38,6.67001586407423e-07
139,domain,query_39,6.660120561718941e-07
140,domain,query_40,7.090275175869465e-07
141,domain,query_41,7.500057108700275e-07
142,domain,query_42,7.090275175869465e-07
143,domain,query_43,6.660120561718941e-07
144,domain,query_44,7.090275175869465e-07
145,domain,query_45,7.080379873514175e-07
146,domain,query_46,7.079797796905041e-07
147,domain,query_47,7.080379873514175e-07
148,domain,query_48,7.080379873514175e-07
149,domain,query_49,7.500057108700275e-07
150,domain,query_50,7.090275175869465e-07
151,domain,query_51,6.669433787465096e-07
152,domain,query_52,8.750357665121555e-07
153,domain,query_53,7.080379873514175e-07
154,domain,query_54,6.67001586407423e-07
155,domain,query_55,7.500057108700275e-07
156,domain,query_56,7.079797796905041e-07
157,domain,query_57,6.67001586407423e-07
158,domain,query_58,6.67001586407423e-07
159,domain,query_59,6.659538485109806e-07
160,domain,query_60,7.080379873514175e-07
161,domain,query_61,7.500057108700275e-07
162,domain,query_62,6.67001586407423e-07
163,domain,query_63,6.25033862888813e-07
164,domain,query_64,6.249756552278996e-07
165,domain,query_65,6.25033862888813e-07
166,domain,query_66,6.67001586407423e-07
167,domain,query_67,6.249756552278996e-07
168,domain,query_68,6.67001586407423e-07
169,domain,query_69,6.67001586407423e-07
170,domain,query_70,6.67001586407423e-07
171,domain,query_71,6.249756552278996e-07
172,domain,query_72,6.249756552278996e-07
173,domain,query_73,6.25033862888813e-07
174,domain,query_74,6.660120561718941e-07
175,domain,query_75,6.249756552278996e-07
176,domain,query_76,6.660120561718941e-07
177,domain,query_77,6.660120561718941e-07
178,domain,query_78,6.659538485109806e-07
179,domain,query_79,6.660120561718941e-07
180,domain,query_80,6.660120561718941e-07
181,domain,query_81,6.67001586407423e-07
182,domain,query_82,7.080379873514175e-07
183,domain,query_83,6.660120561718941e-07
184,domain,query_84,6.660120561718941e-07
185,domain,query_85,7.919734343886375e-07
186,domain,query_86,7.079797796905041e-07
187,domain,query_87,7.08969309926033e-07
188,domain,query_88,6.659538485109806e-07
189,domain,query_89,6.25033862888813e-07
190,domain,query_90,6.660120561718941e-07
191,domain,query_91,6.249756552278996e-07
192,domain,query_92,7.08969309926033e-07
193,domain,query_93,6.249756552278996e-07
194,domain,query_94,6.660120561718941e-07
195,domain,query_95,6.660120561718941e-07
196,domain,query_96,1.7500133253633976e-06
197,domain,query_97,7.500057108700275e-07
198,domain,query_98,7.500057108700275e-07
199,domain,query_99,7.500057108700275e-07
200,domain_simplified,query_0,8.957984391599894e-06
201,domain_simplified,query_1,2.4170149117708206e-06
202,domain_simplified,query_2,9.589712135493755e-07
203,domain_simplified,query_3,8.749775588512421e-07
204,domain_simplified,query_4,7.919734343886375e-07
205,domain_simplified,query_5,6.249756552278996e-07
206,domain_simplified,query_6,6.25033862888813e-07
207,domain_simplified,query_7,7.090275175869465e-07
208,domain_simplified,query_8,6.660120561718941e-07
209,domain_simplified,query_9,6.67001586407423e-07
210,domain_simplified,query_10,7.500057108700275e-07
211,domain_simplified,query_11,6.25033862888813e-07
212,domain_simplified,query_12,5.839974619448185e-07
213,domain_simplified,query_13,7.080379873514175e-07
214,domain_simplified,query_14,8.749775588512421e-07
215,domain_simplified,query_15,6.249756552278996e-07
216,domain_simplified,query_16,7.079797796905041e-07
217,domain_simplified,query_17,6.249756552278996e-07
218,domain_simplified,query_18,6.67001586407423e-07
219,domain_simplified,query_19,6.249756552278996e-07
220,domain_simplified,query_20,6.67001586407423e-07
221,domain_simplified,query_21,6.67001586407423e-07
222,domain_simplified,query_22,6.249756552278996e-07
223,domain_simplified,query_23,6.67001586407423e-07
224,domain_simplified,query_24,6.249756552278996e-07
225,domain_simplified,query_25,6.67001586407423e-07
226,domain_simplified,query_26,6.67001586407423e-07
227,domain_simplified,query_27,7.08969309926033e-07
228,domain_simplified,query_28,5.839974619448185e-07
229,domain_simplified,query_29,6.67001586407423e-07
230,domain_simplified,query_30,5.839974619448185e-07
231,domain_simplified,query_31,6.249756552278996e-07
232,domain_simplified,query_32,6.659538485109806e-07
233,domain_simplified,query_33,6.25033862888813e-07
234,domain_simplified,query_34,6.25033862888813e-07
235,domain_simplified,query_35,6.660120561718941e-07
236,domain_simplified,query_36,6.25033862888813e-07
237,domain_simplified,query_37,7.079797796905041e-07
238,domain_simplified,query_38,5.839974619448185e-07
239,domain_simplified,query_39,5.830079317092896e-07
240,domain_simplified,query_40,6.67001586407423e-07
241,domain_simplified,query_41,6.25033862888813e-07
242,domain_simplified,query_42,6.25033862888813e-07
243,domain_simplified,query_43,6.249756552278996e-07
244,domain_simplified,query_44,6.249756552278996e-07
245,domain_simplified,query_45,6.67001586407423e-07
246,domain_simplified,query_46,6.660120561718941e-07
247,domain_simplified,query_47,5.830079317092896e-07
248,domain_simplified,query_48,6.25033862888813e-07
249,domain_simplified,query_49,6.660120561718941e-07
250,domain_simplified,query_50,6.249756552278996e-07
251,domain_simplified,query_51,7.079797796905041e-07
252,domain_simplified,query_52,7.500057108700275e-07
253,domain_simplified,query_53,6.249756552278996e-07
254,domain_simplified,query_54,6.67001586407423e-07
255,domain_simplified,query_55,5.830079317092896e-07
256,domain_simplified,query_56,6.67001586407423e-07
257,domain_simplified,query_57,7.090275175869465e-07
258,domain_simplified,query_58,6.25033862888813e-07
259,domain_simplified,query_59,5.420297384262085e-07
260,domain_simplified,query_60,5.839974619448185e-07
261,domain_simplified,query_61,6.249756552278996e-07
262,domain_simplified,query_62,5.830079317092896e-07
263,domain_simplified,query_63,5.420297384262085e-07
264,domain_simplified,query_64,5.41971530765295e-07
265,domain_simplified,query_65,6.67001586407423e-07
266,domain_simplified,query_66,6.249756552278996e-07
267,domain_simplified,query_67,5.839974619448185e-07
268,domain_simplified,query_68,5.41971530765295e-07
269,domain_simplified,query_69,6.67001586407423e-07
270,domain_simplified,query_70,5.830079317092896e-07
271,domain_simplified,query_71,5.839974619448185e-07
272,domain_simplified,query_72,5.839974619448185e-07
273,domain_simplified,query_73,6.249756552278996e-07
274,domain_simplified,query_74,5.839974619448185e-07
275,domain_simplified,query_75,5.830079317092896e-07
276,domain_simplified,query_76,5.41971530765295e-07
277,domain_simplified,query_77,5.839974619448185e-07
278,domain_simplified,query_78,6.249756552278996e-07
279,domain_simplified,query_79,5.839974619448185e-07
280,domain_simplified,query_80,5.839974619448185e-07
281,domain_simplified,query_81,5.420297384262085e-07
282,domain_simplified,query_82,6.67001586407423e-07
283,domain_simplified,query_83,6.249756552278996e-07
284,domain_simplified,query_84,5.830079317092896e-07
285,domain_simplified,query_85,6.660120561718941e-07
286,domain_simplified,query_86,6.249756552278996e-07
287,domain_simplified,query_87,5.830079317092896e-07
288,domain_simplified,query_88,5.830079317092896e-07
289,domain_simplified,query_89,6.67001586407423e-07
290,domain_simplified,query_90,6.25033862888813e-07
291,domain_simplified,query_91,6.25033862888813e-07
292,domain_simplified,query_92,6.249756552278996e-07
293,domain_simplified,query_93,5.839974619448185e-07
294,domain_simplified,query_94,5.830079317092896e-07
295,domain_simplified,query_95,5.830079317092896e-07
296,domain_simplified,query_96,5.830079317092896e-07
297,domain_simplified,query_97,6.660120561718941e-07
298,domain_simplified,query_98,6.67001586407423e-07
299,domain_simplified,query_99,5.830079317092896e-07
300,embedding,query_0,0.011150165984872729
301,embedding,query_1,0.011439875001087785
302,embedding,query_2,0.009339750045910478
303,embedding,query_3,0.009109250036999583
304,embedding,query_4,0.007967417011968791
305,embedding,query_5,0.008368957962375134
306,embedding,query_6,0.008285207964945585
307,embedding,query_7,0.00812208402203396
308,embedding,query_8,0.007506375026423484
309,embedding,query_9,0.007523292035330087
310,embedding,query_10,0.008361749991308898
311,embedding,query_11,0.00754020904423669
312,embedding,query_12,0.0075460419757291675
313,embedding,query_13,0.0074552089790813625
314,embedding,query_14,0.007189541996922344
315,embedding,query_15,0.007511042000260204
316,embedding,query_16,0.007518708007410169
317,embedding,query_17,0.007481041015125811
318,embedding,query_18,0.006906791997607797
319,embedding,query_19,0.0075881670345552266
320,embedding,query_20,0.007398249988909811
321,embedding,query_21,0.007146582996938378
322,embedding,query_22,0.007383666990790516
323,embedding,query_23,0.007428625016473234
324,embedding,query_24,0.00709191698115319
325,embedding,query_25,0.007252832991071045
326,embedding,query_26,0.00739266601158306
327,embedding,query_27,0.007617708994075656
328,embedding,query_28,0.007100416987668723
329,embedding,query_29,0.007234291988424957
330,embedding,query_30,0.007205542002338916
331,embedding,query_31,0.00748520897468552
332,embedding,query_32,0.008277125016320497
333,embedding,query_33,0.009476708015426993
334,embedding,query_34,0.008581125002820045
335,embedding,query_35,0.008190958993509412
336,embedding,query_36,0.008139625017065555
337,embedding,query_37,0.00863216700963676
338,embedding,query_38,0.007818625017534941
339,embedding,query_39,0.00857700000051409
340,embedding,query_40,0.008812208019662648
341,embedding,query_41,0.00853420898783952
342,embedding,query_42,0.008112667012028396
343,embedding,query_43,0.00855437503196299
344,embedding,query_44,0.00807266600895673
345,embedding,query_45,0.008108916983474046
346,embedding,query_46,0.008262333984021097
347,embedding,query_47,0.010236625035759062
348,embedding,query_48,0.00855812500230968
349,embedding,query_49,0.008525374985765666
350,embedding,query_50,0.008101542014628649
351,embedding,query_51,0.008824916032608598
352,embedding,query_52,0.008194624970201403
353,embedding,query_53,0.011191333003807813
354,embedding,query_54,0.008821666007861495
355,embedding,query_55,0.010086624999530613
356,embedding,query_56,0.011683791992254555
357,embedding,query_57,0.008617207990027964
358,embedding,query_58,0.00899050000589341
359,embedding,query_59,0.008287457982078195
360,embedding,query_60,0.009250958974007517
361,embedding,query_61,0.009558500023558736
362,embedding,query_62,0.00946579099399969
363,embedding,query_63,0.009883207967504859
364,embedding,query_64,0.013886542001273483
365,embedding,query_65,0.009331667039077729
366,embedding,query_66,0.008540124981664121
367,embedding,query_67,0.00946225004736334
368,embedding,query_68,0.009088749997317791
369,embedding,query_69,0.008429084031376988
370,embedding,query_70,0.008306291012559086
371,embedding,query_71,0.008348624978680164
372,embedding,query_72,0.008823458047118038
373,embedding,query_73,0.007908458006568253
374,embedding,query_74,0.008349791984073818
375,embedding,query_75,0.008444583974778652
376,embedding,query_76,0.008149417000822723
377,embedding,query_77,0.008023417030926794
378,embedding,query_78,0.008246207959018648
379,embedding,query_79,0.008396707999054343
380,embedding,query_80,0.009675542009063065
381,embedding,query_81,0.008211790991481394
382,embedding,query_82,0.008809124992694706
383,embedding,query_83,0.010271667037159204
384,embedding,query_84,0.011399416020140052
385,embedding,query_85,0.008187791972886771
386,embedding,query_86,0.008182333025615662
387,embedding,query_87,0.008155792020261288
388,embedding,query_88,0.008113167015835643
389,embedding,query_89,0.007951167004648596
390,embedding,query_90,0.008253875013906509
391,embedding,query_91,0.008374208002351224
392,embedding,query_92,0.007922958000563085
393,embedding,query_93,0.00928041699808091
394,embedding,query_94,0.007906083017587662
395,embedding,query_95,0.008678667014464736
396,embedding,query_96,0.0081267089699395
397,embedding,query_97,0.00843812501989305
398,embedding,query_98,0.009591665992047638
399,embedding,query_99,0.009960375027731061
