id,router_type,input,routing_time
227,domain_simplified,query_27,0.0
228,domain_simplified,query_28,7.152557373046875e-07
229,domain_simplified,query_29,1.1920928955078125e-06
230,domain_simplified,query_30,0.0
231,domain_simplified,query_31,1.1920928955078125e-06
232,domain_simplified,query_32,0.0
233,domain_simplified,query_33,9.5367431640625e-07
234,domain_simplified,query_34,1.1920928955078125e-06
235,domain_simplified,query_35,0.0
236,domain_simplified,query_36,9.5367431640625e-07
237,domain_simplified,query_37,0.0
238,domain_simplified,query_38,9.5367431640625e-07
239,domain_simplified,query_39,0.0
240,domain_simplified,query_40,9.5367431640625e-07
241,domain_simplified,query_41,9.5367431640625e-07
242,domain_simplified,query_42,1.1920928955078125e-06
243,domain_simplified,query_43,9.5367431640625e-07
244,domain_simplified,query_44,0.0
245,domain_simplified,query_45,0.0
246,domain_simplified,query_46,9.5367431640625e-07
247,domain_simplified,query_47,0.0
248,domain_simplified,query_48,9.5367431640625e-07
249,domain_simplified,query_49,0.0
250,domain_simplified,query_50,9.5367431640625e-07
251,domain_simplified,query_51,0.0
252,domain_simplified,query_52,0.0
253,domain_simplified,query_53,9.5367431640625e-07
254,domain_simplified,query_54,0.0
255,domain_simplified,query_55,9.5367431640625e-07
256,domain_simplified,query_56,9.5367431640625e-07
257,domain_simplified,query_57,9.5367431640625e-07
258,domain_simplified,query_58,1.1920928955078125e-06
259,domain_simplified,query_59,0.0
260,domain_simplified,query_60,1.1920928955078125e-06
261,domain_simplified,query_61,0.0
262,domain_simplified,query_62,7.152557373046875e-07
263,domain_simplified,query_63,1.1920928955078125e-06
264,domain_simplified,query_64,9.5367431640625e-07
265,domain_simplified,query_65,0.0
266,domain_simplified,query_66,9.5367431640625e-07
267,domain_simplified,query_67,0.0
268,domain_simplified,query_68,1.1920928955078125e-06
269,domain_simplified,query_69,0.0
270,domain_simplified,query_70,1.1920928955078125e-06
271,domain_simplified,query_71,0.0
272,domain_simplified,query_72,7.152557373046875e-07
273,domain_simplified,query_73,0.0
274,domain_simplified,query_74,9.5367431640625e-07
275,domain_simplified,query_75,0.0
276,domain_simplified,query_76,9.5367431640625e-07
277,domain_simplified,query_77,0.0
278,domain_simplified,query_78,9.5367431640625e-07
279,domain_simplified,query_79,0.0
280,domain_simplified,query_80,1.1920928955078125e-06
281,domain_simplified,query_81,0.0
282,domain_simplified,query_82,1.1920928955078125e-06
283,domain_simplified,query_83,0.0
284,domain_simplified,query_84,9.5367431640625e-07
285,domain_simplified,query_85,0.0
286,domain_simplified,query_86,9.5367431640625e-07
287,domain_simplified,query_87,9.5367431640625e-07
288,domain_simplified,query_88,9.5367431640625e-07
289,domain_simplified,query_89,0.0
290,domain_simplified,query_90,1.1920928955078125e-06
291,domain_simplified,query_91,0.0
292,domain_simplified,query_92,1.1920928955078125e-06
293,domain_simplified,query_93,0.0
294,domain_simplified,query_94,9.5367431640625e-07
295,domain_simplified,query_95,0.0
296,domain_simplified,query_96,9.5367431640625e-07
297,domain_simplified,query_97,0.0
298,domain_simplified,query_98,9.5367431640625e-07
299,domain_simplified,query_99,0.0
300,embedding,query_0,0.009698629379272461
301,embedding,query_1,0.008337736129760742
302,embedding,query_2,0.008159875869750977
303,embedding,query_3,0.007730960845947266
304,embedding,query_4,0.007478952407836914
305,embedding,query_5,0.007688999176025391
306,embedding,query_6,0.007505893707275391
307,embedding,query_7,0.0076487064361572266
308,embedding,query_8,0.00745391845703125
309,embedding,query_9,0.00732111930847168
310,embedding,query_10,0.008183002471923828
311,embedding,query_11,0.0076770782470703125
312,embedding,query_12,0.007364988327026367
313,embedding,query_13,0.007695913314819336
314,embedding,query_14,0.00718379020690918
315,embedding,query_15,0.007523775100708008
316,embedding,query_16,0.0072040557861328125
317,embedding,query_17,0.00722193717956543
318,embedding,query_18,0.007404804229736328
319,embedding,query_19,0.0075070858001708984
320,embedding,query_20,0.007342100143432617
321,embedding,query_21,0.007503032684326172
322,embedding,query_22,0.0075609683990478516
323,embedding,query_23,0.007610797882080078
324,embedding,query_24,0.007436037063598633
325,embedding,query_25,0.00728297233581543
326,embedding,query_26,0.0076067447662353516
327,embedding,query_27,0.007359027862548828
328,embedding,query_28,0.007485151290893555
329,embedding,query_29,0.007909059524536133
330,embedding,query_30,0.007596015930175781
331,embedding,query_31,0.007819890975952148
332,embedding,query_32,0.007616996765136719
333,embedding,query_33,0.008589744567871094
334,embedding,query_34,0.0076367855072021484
335,embedding,query_35,0.007904052734375
336,embedding,query_36,0.0074689388275146484
337,embedding,query_37,0.0077021121978759766
338,embedding,query_38,0.0073108673095703125
339,embedding,query_39,0.00773310661315918
340,embedding,query_40,0.007658958435058594
341,embedding,query_41,0.0077321529388427734
342,embedding,query_42,0.007275104522705078
343,embedding,query_43,0.007834911346435547
344,embedding,query_44,0.0074617862701416016
345,embedding,query_45,0.007822036743164062
346,embedding,query_46,0.00834512710571289
347,embedding,query_47,0.007989883422851562
348,embedding,query_48,0.007896661758422852
349,embedding,query_49,0.007720947265625
350,embedding,query_50,0.007864952087402344
351,embedding,query_51,0.008251190185546875
352,embedding,query_52,0.008019208908081055
353,embedding,query_53,0.007851839065551758
354,embedding,query_54,0.008049249649047852
355,embedding,query_55,0.007995128631591797
356,embedding,query_56,0.007925033569335938
357,embedding,query_57,0.0071408748626708984
358,embedding,query_58,0.00736689567565918
359,embedding,query_59,0.0074269771575927734
360,embedding,query_60,0.007381916046142578
361,embedding,query_61,0.00722813606262207
362,embedding,query_62,0.007823944091796875
363,embedding,query_63,0.008002042770385742
364,embedding,query_64,0.00794219970703125
365,embedding,query_65,0.007833003997802734
366,embedding,query_66,0.00864410400390625
367,embedding,query_67,0.00841212272644043
368,embedding,query_68,0.007520198822021484
369,embedding,query_69,0.007749080657958984
370,embedding,query_70,0.007704019546508789
371,embedding,query_71,0.007594108581542969
372,embedding,query_72,0.008240222930908203
373,embedding,query_73,0.008711814880371094
374,embedding,query_74,0.008544683456420898
375,embedding,query_75,0.010198831558227539
376,embedding,query_76,0.008599042892456055
377,embedding,query_77,0.009373903274536133
378,embedding,query_78,0.008398056030273438
379,embedding,query_79,0.008689165115356445
380,embedding,query_80,0.008632183074951172
381,embedding,query_81,0.008450031280517578
382,embedding,query_82,0.008208036422729492
383,embedding,query_83,0.008494853973388672
384,embedding,query_84,0.008020162582397461
385,embedding,query_85,0.00886082649230957
386,embedding,query_86,0.009482860565185547
387,embedding,query_87,0.00816798210144043
388,embedding,query_88,0.008466243743896484
389,embedding,query_89,0.010448932647705078
390,embedding,query_90,0.008254051208496094
391,embedding,query_91,0.008842945098876953
392,embedding,query_92,0.00826406478881836
393,embedding,query_93,0.00806879997253418
394,embedding,query_94,0.008016347885131836
395,embedding,query_95,0.008788824081420898
396,embedding,query_96,0.009936094284057617
397,embedding,query_97,0.00784611701965332
398,embedding,query_98,0.008169889450073242
399,embedding,query_99,0.008337259292602539
